,event,timestamp,user_id,request,movie_name,movie_rating,movie_year
0,"2022-10-18T05:15:44,620647,GET /rate/the+cove+2009=4",2022-10-18T05:15:44,620647,GET /rate/the+cove+2009=4,the+cove+2009,4,2009
1,"2022-10-18T05:15:44,616775,GET /rate/rudolph+the+red-nosed+reindeer+1948=4",2022-10-18T05:15:44,616775,GET /rate/rudolph+the+red-nosed+reindeer+1948=4,rudolph+the+red-nosed+reindeer+1948,4,1948
2,"2022-10-18T05:15:45,615497,GET /rate/schindlers+list+1993=4",2022-10-18T05:15:45,615497,GET /rate/schindlers+list+1993=4,schindlers+list+1993,4,1993
3,"2022-10-18T05:15:45,203328,GET /rate/life+is+beautiful+1997=4",2022-10-18T05:15:45,203328,GET /rate/life+is+beautiful+1997=4,life+is+beautiful+1997,4,1997
4,"2022-10-18T05:15:45,621589,GET /rate/up+2009=3",2022-10-18T05:15:45,621589,GET /rate/up+2009=3,up+2009,3,2009
5,"2022-10-18T05:15:46,4505,GET /rate/schindlers+list+1993=5",2022-10-18T05:15:46,4505,GET /rate/schindlers+list+1993=5,schindlers+list+1993,5,1993
6,"2022-10-18T05:15:46,174642,GET /rate/the+shawshank+redemption+1994=2",2022-10-18T05:15:46,174642,GET /rate/the+shawshank+redemption+1994=2,the+shawshank+redemption+1994,2,1994
7,"2022-10-18T05:15:46,299861,GET /rate/the+shawshank+redemption+1994=5",2022-10-18T05:15:46,299861,GET /rate/the+shawshank+redemption+1994=5,the+shawshank+redemption+1994,5,1994
8,"2022-10-18T05:15:47,556801,GET /rate/the+usual+suspects+1995=5",2022-10-18T05:15:47,556801,GET /rate/the+usual+suspects+1995=5,the+usual+suspects+1995,5,1995
9,"2022-10-18T05:15:47,294754,GET /rate/fight+club+1999=4",2022-10-18T05:15:47,294754,GET /rate/fight+club+1999=4,fight+club+1999,4,1999
10,"2022-10-18T05:15:48,227518,GET /rate/the+godfather+1972=5",2022-10-18T05:15:48,227518,GET /rate/the+godfather+1972=5,the+godfather+1972,5,1972
11,"2022-10-18T05:15:49,570303,GET /rate/amlie+2001=4",2022-10-18T05:15:49,570303,GET /rate/amlie+2001=4,amlie+2001,4,2001
12,"2022-10-18T05:15:50,622578,GET /rate/the+shawshank+redemption+1994=5",2022-10-18T05:15:50,622578,GET /rate/the+shawshank+redemption+1994=5,the+shawshank+redemption+1994,5,1994
13,"2022-10-18T05:15:50,300216,GET /rate/fight+club+1999=4",2022-10-18T05:15:50,300216,GET /rate/fight+club+1999=4,fight+club+1999,4,1999
14,"2022-10-18T05:15:52,484084,GET /rate/the+shawshank+redemption+1994=5",2022-10-18T05:15:52,484084,GET /rate/the+shawshank+redemption+1994=5,the+shawshank+redemption+1994,5,1994
